Date,BTC.open,BTC.close,BTC.high,BTC.low,BTC.volume
2017-10-01 00:00:00,4367.1,4386.3,4387.5,4365.0,755.5217587
2017-10-01 00:30:00,4386.6,4367.4,4394.0,4367.0,705.60946785
2017-10-01 01:00:00,4370.7,4347.3,4371.7,4330.1,1698.8100085
2017-10-01 01:30:00,4347.5,4360.0,4360.0,4347.4,259.35956573
2017-10-01 02:00:00,4356.6,4326.8,4358.2,4323.0,422.61190679
2017-10-01 02:30:00,4326.5,4290.0,4336.3,4275.0,2205.62319445
2017-10-01 03:00:00,4290.0,4287.0,4320.0,4286.8,682.51586071
2017-10-01 03:30:00,4286.9,4316.0,4320.0,4284.2,253.52724144
2017-10-01 04:00:00,4316.1,4301.9,4330.0,4301.5,308.77336315
2017-10-01 04:30:00,4301.9,4304.6,4319.0,4300.0,181.81798664
2017-10-01 05:00:00,4304.6,4315.0,4315.0,4289.0,364.67600432
2017-10-01 05:30:00,4315.0,4317.9,4325.0,4299.3,623.51159763
2017-10-01 06:00:00,4316.1,4337.6,4340.0,4315.7,451.25606085
2017-10-01 06:30:00,4335.2,4324.5,4339.7,4320.9,243.64512533
2017-10-01 07:00:00,4324.5,4333.1,4334.2,4322.3,167.73072702
2017-10-01 07:30:00,4333.0,4337.5,4342.8,4325.0,292.44897488
2017-10-01 08:00:00,4337.5,4321.7,4337.9,4294.8,660.01619243
2017-10-01 08:30:00,4321.6,4316.7,4321.7,4305.0,298.88707862
2017-10-01 09:00:00,4316.3,4320.4,4324.2,4310.0,346.38744314
2017-10-01 09:30:00,4320.9,4316.8,4322.8,4315.0,242.5350464
2017-10-01 10:00:00,4316.8,4333.0,4334.0,4315.0,246.26833597
2017-10-01 10:30:00,4332.9,4326.0,4335.0,4324.0,153.50806205
2017-10-01 11:00:00,4325.9,4326.8,4330.0,4324.0,139.80108239
2017-10-01 11:30:00,4326.6,4312.1,4329.3,4311.1,485.57600034
2017-10-01 12:00:00,4312.1,4288.1,4312.1,4277.1,1088.27672662
2017-10-01 12:30:00,4288.4,4285.0,4295.0,4269.6,1071.73604799
2017-10-01 13:00:00,4285.1,4259.9,4290.9,4248.6,1126.24079846
2017-10-01 13:30:00,4260.7,4284.7,4288.4,4260.7,376.37474633
2017-10-01 14:00:00,4284.0,4292.4,4295.0,4275.0,475.84989637
2017-10-01 14:30:00,4292.6,4290.2,4294.9,4286.0,319.66117375
2017-10-01 15:00:00,4290.9,4291.1,4295.6,4276.9,332.9624946
2017-10-01 15:30:00,4291.4,4316.0,4322.4,4288.9,586.83357117
2017-10-01 16:00:00,4315.8,4317.0,4325.0,4310.5,326.03589596
2017-10-01 16:30:00,4317.0,4309.0,4325.0,4308.9,288.48285149
2017-10-01 17:00:00,4309.0,4304.6,4315.0,4304.1,192.74670506
2017-10-01 17:30:00,4304.6,4305.2,4312.8,4289.5,533.91842216
2017-10-01 18:00:00,4305.2,4300.9,4315.0,4297.6,150.85116377
2017-10-01 18:30:00,4300.9,4323.9,4324.7,4300.1,289.08584613
2017-10-01 19:00:00,4323.8,4317.3,4332.4,4316.3,217.96938043
2017-10-01 19:30:00,4318.6,4315.8,4330.9,4312.8,236.61197038
2017-10-01 20:00:00,4315.8,4330.5,4335.0,4311.0,218.77017927
2017-10-01 20:30:00,4333.0,4355.9,4377.9,4331.8,929.55478161
2017-10-01 21:00:00,4355.7,4365.4,4380.7,4353.0,1496.14592973
2017-10-01 21:30:00,4365.9,4365.3,4370.0,4361.0,563.15939945
2017-10-01 22:00:00,4365.4,4390.0,4393.0,4365.3,1036.94418951
2017-10-01 22:30:00,4388.1,4407.0,4424.0,4383.7,2692.70938359
2017-10-01 23:00:00,4406.9,4406.0,4408.8,4385.0,1804.15814838
2017-10-01 23:30:00,4405.9,4404.3,4407.6,4395.0,684.06185207
2017-10-02 00:00:00,4404.3,4390.0,4418.8,4389.8,757.09217021
