Date,EOS.open,EOS.close,EOS.high,EOS.low,EOS.volume
2017-10-01 00:00:00,0.72508,0.7272,0.7273,0.723,18333.74032599
2017-10-01 00:30:00,0.7272,0.724,0.7289,0.72,22989.21456244
2017-10-01 01:00:00,0.72071,0.72,0.7244,0.7175,21413.28529103
2017-10-01 01:30:00,0.71999,0.722,0.722,0.71745,32109.41123424
2017-10-01 02:00:00,0.72453,0.72051,0.72723,0.72051,19439.976435110002
2017-10-01 02:30:00,0.71902,0.71565,0.72123,0.71565,29279.26033348
2017-10-01 03:00:00,0.71897,0.71843,0.72119,0.71552,19951.25160702
2017-10-01 03:30:00,0.71552,0.71695,0.719,0.71552,18716.08745974
2017-10-01 04:00:00,0.71623,0.71666,0.71959,0.71623,21814.49531349
2017-10-01 04:30:00,0.7177,0.71,0.72097,0.71,209881.40097944
2017-10-01 05:00:00,0.71,0.7115,0.71551,0.71,49344.67275017
2017-10-01 05:30:00,0.71153,0.71483,0.71541,0.71,65265.80431169
2017-10-01 06:00:00,0.7113,0.714,0.71552,0.71118,8630.82330174
2017-10-01 06:30:00,0.71304,0.71199,0.7163,0.71199,7741.84834947
2017-10-01 07:00:00,0.71199,0.7125,0.71508,0.71199,5399.39551103
2017-10-01 07:30:00,0.7126,0.7146,0.7146,0.7123,4389.87999329
2017-10-01 08:00:00,0.7147,0.71451,0.7182,0.7145,16084.42136525
2017-10-01 08:30:00,0.71451,0.71062,0.71461,0.7037,136237.57639969
2017-10-01 09:00:00,0.70975,0.71146,0.71846,0.70621,35413.5223067
2017-10-01 09:30:00,0.711,0.7041,0.71359,0.70325,46370.29990576
2017-10-01 10:00:00,0.70877,0.70332,0.70969,0.703,10085.816311640001
2017-10-01 10:30:00,0.70332,0.70355,0.70805,0.7,80052.99981439
2017-10-01 11:00:00,0.703,0.70111,0.70381,0.7,57776.06902921
2017-10-01 11:30:00,0.70121,0.7028,0.703,0.7,131650.35607605
2017-10-01 12:00:00,0.7028,0.70447,0.70999,0.7,20657.92678676
2017-10-01 12:30:00,0.70419,0.6919,0.70419,0.69,231185.33955841
2017-10-01 13:00:00,0.6919,0.68171,0.6919,0.68,352065.78511332
2017-10-01 13:30:00,0.68161,0.67979,0.685,0.6714,345360.59430601
2017-10-01 14:00:00,0.67999,0.6804,0.68488,0.6766,52371.4106433
2017-10-01 14:30:00,0.6803,0.6835,0.6835,0.6763,65135.78746899
2017-10-01 15:00:00,0.6815,0.6837,0.6837,0.68,21969.58925539
2017-10-01 15:30:00,0.6838,0.6861,0.6887,0.681,63922.133739
2017-10-01 16:00:00,0.6861,0.687,0.68869,0.682,31832.67714871
2017-10-01 16:30:00,0.6871,0.686,0.6914,0.685,77916.65293158
2017-10-01 17:00:00,0.685,0.68621,0.6891,0.68321,47927.16192635
2017-10-01 17:30:00,0.686,0.682,0.686,0.682,18421.003619
2017-10-01 18:00:00,0.68447,0.6819,0.68497,0.6803,17637.124586179998
2017-10-01 18:30:00,0.6809,0.68346,0.68889,0.6808,10918.15869193
2017-10-01 19:00:00,0.68351,0.685,0.6889,0.68332,19144.68106538
2017-10-01 19:30:00,0.68558,0.687,0.6892,0.682,14891.68930803
2017-10-01 20:00:00,0.68832,0.68664,0.68832,0.68211,43400.4995206
2017-10-01 20:30:00,0.68665,0.68832,0.68832,0.685,9210.04674057
2017-10-01 21:00:00,0.68832,0.6958,0.6999,0.68832,143268.95817931
2017-10-01 21:30:00,0.69423,0.69973,0.705,0.69423,33025.64755177
2017-10-01 22:00:00,0.70235,0.7008,0.70598,0.69963,8999.3296144
2017-10-01 22:30:00,0.701,0.7211,0.73039,0.70086,315037.57657045
2017-10-01 23:00:00,0.721,0.71012,0.7241,0.71,78769.37892269
2017-10-01 23:30:00,0.71071,0.70733,0.72323,0.7028,49042.64061945
2017-10-02 00:00:00,0.71342,0.71479,0.7195,0.71111,13558.40314372
2017-10-02 00:30:00,0.71488,0.7118,0.7229,0.7058,72582.06730437
2017-10-02 01:00:00,0.71169,0.70607,0.71378,0.70001,23355.22549284
2017-10-02 01:30:00,0.7043,0.7019,0.70615,0.7003,17918.47093898
2017-10-02 02:00:00,0.70195,0.70272,0.705,0.69475,35014.51612552
2017-10-02 02:30:00,0.70131,0.69552,0.70301,0.69301,23900.13901936
2017-10-02 03:00:00,0.69865,0.69761,0.70222,0.696,22410.96151859
2017-10-02 03:30:00,0.69751,0.697,0.70367,0.69654,3370.2529777
2017-10-02 04:00:00,0.6981,0.69807,0.7048,0.6969,21532.49783389
2017-10-02 04:30:00,0.6981,0.6989,0.699,0.696,9941.83309751
2017-10-02 05:00:00,0.69608,0.6963,0.698,0.6901,18761.10124063
2017-10-02 05:30:00,0.6963,0.703,0.70516,0.6962,63689.28997216
2017-10-02 06:00:00,0.70312,0.69926,0.71069,0.69,90010.09802483
2017-10-02 06:30:00,0.69901,0.692,0.7,0.6913,21987.55477345
2017-10-02 07:00:00,0.6923,0.6825,0.69574,0.6804,137513.34532152
2017-10-02 07:30:00,0.6825,0.6831,0.69016,0.6825,21792.11518197
2017-10-02 08:00:00,0.68311,0.68859,0.689,0.68,46951.96664115
2017-10-02 08:30:00,0.68859,0.68606,0.6886,0.683,23586.10817313
2017-10-02 09:00:00,0.6831,0.682,0.6836,0.68051,16969.61122753
2017-10-02 09:30:00,0.682,0.686,0.6861,0.682,57675.717455260004
2017-10-02 10:00:00,0.686,0.68,0.68667,0.67999,90210.04615212
2017-10-02 10:30:00,0.67991,0.675,0.68003,0.675,25172.23081002
2017-10-02 11:00:00,0.675,0.676,0.68,0.67474,40972.3799912
2017-10-02 11:30:00,0.67662,0.6604,0.67876,0.66,142434.24108074
2017-10-02 12:00:00,0.6602,0.6501,0.665,0.6501,175253.10073529
2017-10-02 12:30:00,0.6501,0.65319,0.65424,0.6501,101257.06655808
2017-10-02 13:00:00,0.65188,0.66554,0.67331,0.65111,183111.27693792
2017-10-02 13:30:00,0.66554,0.66751,0.674,0.66369,54081.63393852
2017-10-02 14:00:00,0.66751,0.67218,0.67267,0.66751,33774.41803847
2017-10-02 14:30:00,0.6721,0.67049,0.6721,0.6702,48183.75295989
2017-10-02 15:00:00,0.67039,0.67039,0.67165,0.67039,19771.71591839
2017-10-02 15:30:00,0.67039,0.6695,0.67047,0.66751,81817.62164064
2017-10-02 16:00:00,0.6696,0.6698,0.6699,0.669,10600.466687
2017-10-02 16:30:00,0.6691,0.66,0.6699,0.65999,96458.70679443
2017-10-02 17:00:00,0.65989,0.6542,0.66,0.654,38069.832763160004
2017-10-02 17:30:00,0.65419,0.63938,0.65612,0.63938,251044.42673084998
2017-10-02 18:00:00,0.643,0.6382,0.643,0.6366,75620.51730435
2017-10-02 18:30:00,0.6382,0.63699,0.63851,0.6301,71474.4292314
2017-10-02 19:00:00,0.63699,0.65304,0.65304,0.63699,89586.42857443
2017-10-02 19:30:00,0.64966,0.6531,0.6531,0.64652,32497.2256057
2017-10-02 20:00:00,0.65074,0.6473,0.6547,0.64711,15418.77236376
2017-10-02 20:30:00,0.65322,0.65547,0.65563,0.647,29524.56826693
2017-10-02 21:00:00,0.65563,0.65607,0.6681,0.6475,133269.10651503
2017-10-02 21:30:00,0.6559,0.65242,0.6674,0.6495,20752.99435936
2017-10-02 22:00:00,0.6508,0.654,0.65768,0.65071,13713.88745727
2017-10-02 22:30:00,0.65815,0.64864,0.65815,0.648,6177.20712649
2017-10-02 23:00:00,0.64865,0.65125,0.65125,0.64591,21941.59093219
2017-10-02 23:30:00,0.65124,0.65335,0.65739,0.65,20617.90995811
2017-10-03 00:00:00,0.65442,0.6515,0.65442,0.64484,14135.990097079999
2017-10-03 00:30:00,0.6513,0.65114,0.6515,0.65114,4776.44549046
2017-10-03 01:00:00,0.6512,0.656,0.656,0.65114,9394.81315792
2017-10-03 01:30:00,0.65436,0.65611,0.6711,0.65114,79730.93403425
2017-10-03 02:00:00,0.65578,0.6591,0.6652,0.6533,12746.786420980001
2017-10-03 02:30:00,0.6542,0.65933,0.6601,0.65181,5018.72520027
2017-10-03 03:00:00,0.657,0.6566,0.665,0.65648,37185.37351345
2017-10-03 03:30:00,0.6566,0.655,0.6566,0.6519,1650.02123237
2017-10-03 04:00:00,0.6539,0.65697,0.65852,0.65107,30974.36516952
2017-10-03 04:30:00,0.6566,0.66622,0.66808,0.656,89251.83744242
2017-10-03 05:00:00,0.66622,0.6627,0.67,0.6511,106921.71998694
2017-10-03 05:30:00,0.66281,0.655,0.66418,0.6511,66257.21610042
2017-10-03 06:00:00,0.65389,0.65436,0.65954,0.65,25151.30582183
2017-10-03 06:30:00,0.65566,0.65532,0.663,0.6521,19771.19914963
2017-10-03 07:00:00,0.65352,0.64708,0.6554,0.6351,83740.27395463
2017-10-03 07:30:00,0.64652,0.6461,0.65439,0.645,21033.89011317
2017-10-03 08:00:00,0.6462,0.6461,0.65369,0.637,51367.18943182
2017-10-03 08:30:00,0.6459,0.6426,0.6481,0.64166,13684.99681119
2017-10-03 09:00:00,0.6452,0.638,0.64691,0.635,18044.05868044
2017-10-03 09:30:00,0.638,0.63841,0.63843,0.635,36409.276594330004
2017-10-03 10:00:00,0.63764,0.63822,0.6385,0.635,24142.4994802
2017-10-03 10:30:00,0.63822,0.6362,0.63979,0.635,41183.42621733
2017-10-03 11:00:00,0.63884,0.62701,0.63884,0.621,148603.20260552
2017-10-03 11:30:00,0.62985,0.62999,0.63,0.62356,50034.90085933
2017-10-03 12:00:00,0.62862,0.62799,0.63639,0.62749,44378.48915326
2017-10-03 12:30:00,0.6264,0.62569,0.6286,0.6223,43834.04199211
2017-10-03 13:00:00,0.62548,0.6223,0.62548,0.62,310154.72591727
2017-10-03 13:30:00,0.6223,0.62113,0.627,0.62113,21162.6951688
2017-10-03 14:00:00,0.6214,0.6201,0.62362,0.62,20053.81161696
2017-10-03 14:30:00,0.6201,0.62713,0.6287,0.6201,13141.64655768
2017-10-03 15:00:00,0.62791,0.62467,0.6287,0.62001,24308.13838059
2017-10-03 15:30:00,0.62554,0.62576,0.6275,0.615,208794.01995954
2017-10-03 16:00:00,0.62576,0.62199,0.62811,0.6151,26718.31470077
2017-10-03 16:30:00,0.62085,0.61734,0.62085,0.615,20560.30771143
2017-10-03 17:00:00,0.61708,0.62024,0.62024,0.615,31928.0569077
2017-10-03 17:30:00,0.61972,0.6251,0.6251,0.615,52143.06130669
2017-10-03 18:00:00,0.62405,0.61675,0.626,0.61675,33181.11844663
2017-10-03 18:30:00,0.61675,0.61726,0.61741,0.615,52083.78448894
2017-10-03 19:00:00,0.61628,0.6154,0.61732,0.6153,39491.51889944
2017-10-03 19:30:00,0.6153,0.61729,0.6174,0.6153,12934.5009081
2017-10-03 20:00:00,0.61729,0.61545,0.6174,0.61542,6461.25679854
2017-10-03 20:30:00,0.61646,0.62077,0.6213,0.61544,25239.22931122
2017-10-03 21:00:00,0.61958,0.6257,0.6287,0.61958,76653.50607982
2017-10-03 21:30:00,0.62152,0.6211,0.6276,0.6211,14559.602373400001
2017-10-03 22:00:00,0.62102,0.62163,0.6259,0.621,9168.68749498
2017-10-03 22:30:00,0.62198,0.6241,0.6262,0.62101,25651.28055649
2017-10-03 23:00:00,0.6264,0.63,0.63246,0.62539,146352.99348496
2017-10-03 23:30:00,0.63001,0.6325,0.6337,0.63001,16366.34525172
2017-10-04 00:00:00,0.63062,0.635,0.63586,0.6305,28964.24776313
2017-10-04 00:30:00,0.635,0.6272,0.635,0.6233,46156.94559963
2017-10-04 01:00:00,0.6274,0.6302,0.63519,0.6253,35268.08665226
2017-10-04 01:30:00,0.63011,0.62804,0.632,0.62632,14265.4709265
2017-10-04 02:00:00,0.63051,0.625,0.63206,0.625,33677.55979765
2017-10-04 02:30:00,0.62499,0.6258,0.62886,0.6244,5026.08487202
2017-10-04 03:00:00,0.62581,0.62371,0.62661,0.62101,39063.43211454
2017-10-04 03:30:00,0.623,0.621,0.62332,0.621,42603.06445328
2017-10-04 04:00:00,0.621,0.62333,0.62405,0.621,28333.17941697
2017-10-04 04:30:00,0.62314,0.6275,0.6275,0.62101,7491.2787140499995
2017-10-04 05:00:00,0.62739,0.62154,0.62845,0.62102,38640.9846759
