Date,ETH.open,ETH.close,ETH.high,ETH.low,ETH.volume
2017-10-17 00:00:00,334.3,333.82,334.8,333.32,477.63773539
2017-10-17 00:30:00,333.89,332.45,333.9,331.9,3081.22910502
2017-10-17 01:00:00,332.44,331.13,333.01,330.27,3123.84602924
2017-10-17 01:30:00,331.09,327.22,331.1,325.57,7700.24273914
2017-10-17 02:00:00,327.33,328.48,329.53,327.01,2630.83789811
2017-10-17 02:30:00,328.34,327.7,328.43,325.72,2735.36888839
2017-10-17 03:00:00,327.8,326.81,328.8,326.81,1170.2177471100001
2017-10-17 03:30:00,327.68,327.99,328.4,327.0,1600.82443945
2017-10-17 04:00:00,327.99,328.71,329.32,327.75,2111.05208326
2017-10-17 04:30:00,328.63,328.32,328.66,326.5,1000.77026978
2017-10-17 05:00:00,328.26,326.88,328.43,326.42,859.94418705
2017-10-17 05:30:00,326.74,325.48,327.5,324.33,3159.32185486
2017-10-17 06:00:00,325.41,325.93,326.42,324.71,2563.85872505
2017-10-17 06:30:00,325.9,327.36,329.12,325.83,6247.00280816
2017-10-17 07:00:00,327.2,327.85,328.94,326.0,4368.26681351
2017-10-17 07:30:00,327.64,327.4,328.5,326.14,3627.4863051
2017-10-17 08:00:00,327.46,329.65,329.68,327.45,1606.40761942
2017-10-17 08:30:00,329.66,330.13,332.2,329.55,4414.26641132
2017-10-17 09:00:00,330.22,329.9,330.29,329.11,1482.15803574
2017-10-17 09:30:00,329.81,328.35,329.9,328.31,2469.57835137
2017-10-17 10:00:00,328.37,327.67,328.41,325.01,2307.82096077
2017-10-17 10:30:00,327.55,326.73,328.1,326.59,2137.62641172
2017-10-17 11:00:00,326.71,324.02,327.72,323.32,5407.14200014
2017-10-17 11:30:00,324.13,322.64,324.68,321.7,6333.74460801
2017-10-17 12:00:00,322.56,323.81,323.9,321.22,5137.82199076
2017-10-17 12:30:00,323.32,322.39,324.24,322.2,2601.56979816
2017-10-17 13:00:00,322.41,323.65,323.8,322.4,1603.88190705
2017-10-17 13:30:00,323.57,322.71,323.71,322.7,1226.83101779
2017-10-17 14:00:00,322.94,322.81,323.5,322.5,2876.75134308
2017-10-17 14:30:00,322.83,321.56,323.5,321.5,3475.98718664
2017-10-17 15:00:00,321.67,322.0,322.57,321.03,3782.37687537
2017-10-17 15:30:00,322.0,319.52,322.12,319.33,7527.46024218
2017-10-17 16:00:00,319.52,320.72,321.7,318.1,8414.58331348
2017-10-17 16:30:00,320.72,317.14,321.0,317.14,12229.68611563
2017-10-17 17:00:00,317.15,317.19,317.94,315.1,6400.2986072
2017-10-17 17:30:00,317.17,320.0,320.99,317.14,6309.8841524
2017-10-17 18:00:00,319.61,321.71,322.0,319.03,4919.79343118
2017-10-17 18:30:00,321.89,322.4,322.5,321.2,2782.06484418
2017-10-17 19:00:00,322.4,322.09,322.65,321.62,1729.33085803
2017-10-17 19:30:00,322.13,321.72,322.25,321.32,1352.28630255
2017-10-17 20:00:00,321.72,317.62,321.77,316.72,8258.97820486
2017-10-17 20:30:00,317.63,314.99,317.87,308.0,12743.533165
2017-10-17 21:00:00,314.97,314.75,317.1,313.51,6076.45492734
2017-10-17 21:30:00,314.13,314.0,315.98,309.78,5179.66331244
2017-10-17 22:00:00,313.86,313.32,314.68,311.53,3036.85508635
2017-10-17 22:30:00,313.34,310.58,313.81,310.5,3019.29318518
2017-10-17 23:00:00,310.53,314.26,315.14,310.0,4576.91482029
2017-10-17 23:30:00,314.23,315.65,318.39,314.0,4416.93715194
2017-10-18 00:00:00,315.63,312.73,316.21,312.0,3077.24368002
2017-10-18 00:30:00,312.87,312.87,314.33,312.0,1294.58689065
2017-10-18 01:00:00,313.21,311.0,314.11,310.89,3153.26491807
2017-10-18 01:30:00,311.01,308.2,311.62,308.2,2693.04061011
2017-10-18 02:00:00,308.31,308.66,312.36,306.5,6448.15582156
2017-10-18 02:30:00,308.66,306.28,308.9,306.28,2060.69759742
2017-10-18 03:00:00,306.27,306.2,307.31,305.0,3141.7648515
2017-10-18 03:30:00,306.18,307.12,309.87,304.46,4239.64412131
2017-10-18 04:00:00,307.11,311.29,312.0,307.08,4667.16272427
2017-10-18 04:30:00,311.28,311.99,312.81,310.54,1998.2437623
2017-10-18 05:00:00,312.0,314.2,314.43,311.28,2486.84819561
2017-10-18 05:30:00,314.29,310.99,314.42,310.96,3114.63406126
2017-10-18 06:00:00,310.97,307.2,311.22,304.12,6490.68028156
2017-10-18 06:30:00,307.2,302.32,307.22,302.14,5053.64854619
2017-10-18 07:00:00,302.28,303.6,306.15,302.16,4635.75654132
2017-10-18 07:30:00,303.73,299.62,305.67,299.52,8837.36483624
2017-10-18 08:00:00,299.64,298.73,302.8,296.26,17515.7675251
2017-10-18 08:30:00,298.73,299.99,301.9,297.27,6973.39320921
2017-10-18 09:00:00,299.98,300.0,302.8,299.95,4842.12230146
2017-10-18 09:30:00,300.19,300.7,301.55,299.89,2372.17834249
2017-10-18 10:00:00,300.66,298.99,300.72,297.44,4897.2837295
2017-10-18 10:30:00,299.0,299.0,299.78,297.77,2136.16832873
2017-10-18 11:00:00,299.07,296.93,299.07,296.0,3626.67507126
2017-10-18 11:30:00,296.6,297.9,298.5,293.74,4880.68165477
2017-10-18 12:00:00,297.8,297.95,298.75,297.44,5497.7106577
2017-10-18 12:30:00,297.95,298.28,298.63,297.39,2230.94132877
2017-10-18 13:00:00,298.41,295.0,298.41,294.86,6478.7396496
2017-10-18 13:30:00,295.0,289.89,295.13,289.37,12580.39974791
2017-10-18 14:00:00,289.88,292.03,293.28,287.46,10827.66529331
2017-10-18 14:30:00,292.1,294.37,294.77,291.24,4331.72577471
2017-10-18 15:00:00,294.5,295.39,295.93,293.5,3976.02522067
2017-10-18 15:30:00,295.2,303.25,306.88,295.2,16785.82374285
2017-10-18 16:00:00,303.63,305.3,310.05,303.31,12054.96126822
2017-10-18 16:30:00,306.18,304.0,308.33,303.91,8007.72646596
2017-10-18 17:00:00,303.95,303.6,307.0,302.03,8566.33552665
2017-10-18 17:30:00,303.51,301.06,303.6,299.01,5813.44114771
2017-10-18 18:00:00,301.09,303.5,303.5,300.0,5708.20202471
2017-10-18 18:30:00,303.5,302.87,303.5,301.75,1962.87577386
2017-10-18 19:00:00,302.67,303.02,304.0,302.18,2032.17228465
2017-10-18 19:30:00,303.0,301.18,303.59,298.08,5726.56907865
2017-10-18 20:00:00,301.19,302.5,303.98,301.18,1730.32725562
2017-10-18 20:30:00,302.5,305.76,305.77,302.5,2807.0659538
2017-10-18 21:00:00,305.43,308.7,308.7,305.02,5403.70044755
2017-10-18 21:30:00,308.4,306.86,308.7,304.66,3321.49523894
2017-10-18 22:00:00,307.12,309.61,309.61,306.8,2226.11307142
2017-10-18 22:30:00,309.6,312.16,314.0,309.5,6154.45396989
